fullName,CarID,location,price
Ada Campo-Corrente,10.0,Abila Zacharo,68.78
Ada Campo-Corrente,10.0,Albert's Fine Clothing,229.98
Ada Campo-Corrente,10.0,Brewed Awakenings,101.27
Ada Campo-Corrente,10.0,Desafio Golf Course,389.37
Ada Campo-Corrente,10.0,Gelatogalore,81.51
Ada Campo-Corrente,10.0,Hippokampos,445.49000000000007
Ada Campo-Corrente,10.0,Kalami Kafenion,15.15
Ada Campo-Corrente,10.0,Katerinas Café,13.68
Ada Campo-Corrente,10.0,Kronos Mart,150.36
Ada Campo-Corrente,10.0,Ouzeri Elian,69.58
Ada Campo-Corrente,10.0,Shoppers' Delight,162.0
Adan Morlun,0.0,Nationwide Refinery,6416.93
Adan Morlun,0.0,Stewart and Sons Fabrication,6283.64
Adra Nubarron,25.0,Abila Zacharo,14.51
Adra Nubarron,25.0,Albert's Fine Clothing,470.47
Adra Nubarron,25.0,Coffee Cameleon,114.03
Adra Nubarron,25.0,Frydos Autosupply n' More,197.32
Adra Nubarron,25.0,Gelatogalore,32.82
Adra Nubarron,25.0,Guy's Gyros,53.26
Adra Nubarron,25.0,Hippokampos,93.57000000000001
Adra Nubarron,25.0,Katerinas Café,353.04999999999995
Adra Nubarron,25.0,Ouzeri Elian,47.370000000000005
Adra Nubarron,25.0,Shoppers' Delight,30.39
Albina Hafon,0.0,Abila Airport,8934.609999999999
Albina Hafon,0.0,Carlyle Chemical Inc.,5678.62
Albina Hafon,0.0,Kronos Pipe and Irrigation,3134.95
Albina Hafon,0.0,Maximum Iron and Steel,3549.36
Albina Hafon,0.0,Ouzeri Elian,19.82
Axel Calzas,9.0,Albert's Fine Clothing,63.36
Axel Calzas,9.0,Bean There Done That,240.32999999999998
Axel Calzas,9.0,Frydos Autosupply n' More,103.55
Axel Calzas,9.0,Gelatogalore,70.98
Axel Calzas,9.0,Guy's Gyros,32.8
Axel Calzas,9.0,Hippokampos,337.32
Axel Calzas,9.0,Kalami Kafenion,22.83
Axel Calzas,9.0,Katerinas Café,35.06
Axel Calzas,9.0,Ouzeri Elian,45.0
Axel Calzas,9.0,Shoppers' Delight,160.69
Benito Hawelon,0.0,Abila Airport,7875.12
Benito Hawelon,0.0,Nationwide Refinery,5899.72
Benito Hawelon,0.0,Stewart and Sons Fabrication,3757.04
Bertrand Ovan,29.0,Abila Zacharo,65.11
Bertrand Ovan,29.0,Coffee Cameleon,182.94
Bertrand Ovan,29.0,Frydos Autosupply n' More,114.98
Bertrand Ovan,29.0,Gelatogalore,88.97
Bertrand Ovan,29.0,General Grocer,177.6
Bertrand Ovan,29.0,Guy's Gyros,17.44
Bertrand Ovan,29.0,Kalami Kafenion,24.08
Bertrand Ovan,29.0,Katerinas Café,706.48
Bertrand Ovan,29.0,Ouzeri Elian,56.620000000000005
Bertrand Ovan,29.0,Shoppers' Delight,51.5
Birgitta Frente,18.0,Abila Zacharo,16.2
Birgitta Frente,18.0,Bean There Done That,15.24
Birgitta Frente,18.0,Gelatogalore,17.31
Birgitta Frente,18.0,Guy's Gyros,139.3
Birgitta Frente,18.0,Hallowed Grounds,173.30999999999997
Birgitta Frente,18.0,Hippokampos,163.37
Birgitta Frente,18.0,Katerinas Café,198.9
Birgitta Frente,18.0,Ouzeri Elian,30.93
Birgitta Frente,18.0,Roberts and Sons,266.69
Birgitta Frente,18.0,Shoppers' Delight,157.45
Brand Tempestad,33.0,Abila Zacharo,37.73
Brand Tempestad,33.0,Ahaggo Museum,52.14
Brand Tempestad,33.0,Brew've Been Served,333.31
Brand Tempestad,33.0,Chostus Hotel,472.43999999999994
Brand Tempestad,33.0,Frydos Autosupply n' More,235.27
Brand Tempestad,33.0,Guy's Gyros,289.0
Brand Tempestad,33.0,Hippokampos,179.45
Brand Tempestad,33.0,Katerinas Café,11.08
Cecilia Morluniau,0.0,Nationwide Refinery,12066.4
Cecilia Morluniau,0.0,Stewart and Sons Fabrication,24595.5
Claudio Hawelon,0.0,Abila Airport,4039.36
Claudio Hawelon,0.0,Carlyle Chemical Inc.,227.81
Claudio Hawelon,0.0,Nationwide Refinery,2302.73
Claudio Hawelon,0.0,Stewart and Sons Fabrication,4195.49
Dylan Scozzese,0.0,Abila Airport,11310.69
Dylan Scozzese,0.0,Abila Scrapyard,9482.09
Dylan Scozzese,0.0,Nationwide Refinery,6641.84
Dylan Scozzese,0.0,Stewart and Sons Fabrication,1880.8000000000002
Edvard Vann,34.0,Abila Zacharo,90.56
Edvard Vann,34.0,Ahaggo Museum,89.32
Edvard Vann,34.0,Brew've Been Served,205.55
Edvard Vann,34.0,Frydos Autosupply n' More,209.76
Edvard Vann,34.0,Gelatogalore,23.45
Edvard Vann,34.0,General Grocer,285.34
Edvard Vann,34.0,Guy's Gyros,171.55999999999997
Edvard Vann,34.0,Hippokampos,179.33
Edvard Vann,34.0,Kalami Kafenion,18.06
Edvard Vann,34.0,Katerinas Café,99.32
Edvard Vann,34.0,Octavio's Office Supplies,139.72
Edvard Vann,34.0,Ouzeri Elian,95.03
Elsa Orilla,28.0,Ahaggo Museum,26.91
Elsa Orilla,28.0,Frydos Autosupply n' More,273.87
Elsa Orilla,28.0,Jack's Magical Beans,192.41000000000003
Elsa Orilla,28.0,Kalami Kafenion,101.5
Elsa Orilla,28.0,Ouzeri Elian,195.6
Felix Balas,3.0,Abila Zacharo,100.82
Felix Balas,3.0,Albert's Fine Clothing,364.73
Felix Balas,3.0,Bean There Done That,175.35000000000002
Felix Balas,3.0,Frank's Fuel,52.66
Felix Balas,3.0,Gelatogalore,23.23
Felix Balas,3.0,Guy's Gyros,72.43
Felix Balas,3.0,Hippokampos,342.15000000000003
Felix Balas,3.0,Kalami Kafenion,179.89999999999998
Felix Resumir,30.0,Abila Zacharo,132.28000000000003
Felix Resumir,30.0,Ahaggo Museum,120.2
Felix Resumir,30.0,Brew've Been Served,154.37000000000003
Felix Resumir,30.0,Frydos Autosupply n' More,751.71
Felix Resumir,30.0,General Grocer,108.49
Felix Resumir,30.0,Guy's Gyros,225.41
Felix Resumir,30.0,Hippokampos,57.07
Felix Resumir,30.0,Kalami Kafenion,82.18
Felix Resumir,30.0,Katerinas Café,19.65
Felix Resumir,30.0,Ouzeri Elian,59.51
Felix Resumir,30.0,Shoppers' Delight,144.4
Gustav Cazar,11.0,Abila Zacharo,27.3
Gustav Cazar,11.0,Albert's Fine Clothing,88.88999999999999
Gustav Cazar,11.0,Bean There Done That,351.81000000000006
Gustav Cazar,11.0,Frydos Autosupply n' More,120.65
Gustav Cazar,11.0,Guy's Gyros,31.05
Gustav Cazar,11.0,Hippokampos,343.67
Gustav Cazar,11.0,Kalami Kafenion,61.54
Gustav Cazar,11.0,Katerinas Café,36.56
Gustav Cazar,11.0,Ouzeri Elian,52.67
Henk Mies,0.0,Abila Airport,35993.68
Hennie Osvaldo,21.0,Abila Zacharo,38.41
Hennie Osvaldo,21.0,Brew've Been Served,138.94
Hennie Osvaldo,21.0,Frydos Autosupply n' More,98.04
Hennie Osvaldo,21.0,Gelatogalore,72.06
Hennie Osvaldo,21.0,Hallowed Grounds,128.71
Hennie Osvaldo,21.0,Hippokampos,8.75
Hennie Osvaldo,21.0,Kalami Kafenion,27.7
Hennie Osvaldo,21.0,Katerinas Café,309.28
Hennie Osvaldo,21.0,Ouzeri Elian,20.46
Hennie Osvaldo,21.0,Roberts and Sons,223.81
Hideki Cocinaro,12.0,Abila Zacharo,114.13
Hideki Cocinaro,12.0,General Grocer,363.87
Hideki Cocinaro,12.0,Guy's Gyros,353.09000000000003
Hideki Cocinaro,12.0,Hallowed Grounds,213.45999999999998
Hideki Cocinaro,12.0,Kalami Kafenion,136.01
Hideki Cocinaro,12.0,Katerinas Café,100.56
Hideki Cocinaro,12.0,Kronos Mart,298.83
Hideki Cocinaro,12.0,Ouzeri Elian,118.05
